Country,Andorra,Albania,Austria,Bosnia and Herzegovina,Belgium,Bulgaria,Belarus,Switzerland,Cyprus,Czechia,Germany,Denmark,Estonia,Spain,Finland,France,Greece,Croatia,Hungary,Ireland,Iceland,Italy,Liechtenstein,Lithuania,Luxembourg,Latvia,Malta,Monaco,Moldova,Montenegro,Macedonia,Netherlands,Norway,Poland,Portugal,Serbia,Russia,Romania,Sweden,Slovenia,Slovakia,San Marino,The Vatican,Türkiye / Turkey,United Kingdom,Ukraine,Correct,Total,Percent
Monaco,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,39,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,39,49,0.8
Netherlands,0,0,0,0,2,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,2,0,1,0,0,0,1,0,39,49,0.8
Belarus,0,1,0,1,0,0,46,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,1,3,0,1,0,0,0,0,0,0,46,59,0.78
Malta,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,1,1,43,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,57,0.75
Cyprus,0,2,0,1,0,1,0,0,40,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,40,55,0.73
Czechia,0,0,0,1,0,1,1,0,0,32,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,32,44,0.73
Romania,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,3,0,1,0,0,0,0,2,0,39,0,0,1,0,0,1,0,0,39,57,0.68
The Vatican,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,34,0,0,0,34,50,0.68
Bulgaria,0,0,0,0,1,34,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,8,0,0,1,0,0,0,0,1,34,51,0.67
Moldova,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,2,35,1,4,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,35,52,0.67
Slovakia,0,0,0,1,0,0,3,0,0,2,0,0,1,0,0,0,1,0,6,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,33,0,0,0,0,0,33,51,0.65
Serbia,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,38,2,2,0,0,0,0,0,0,0,1,38,59,0.64
Slovenia,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,1,0,0,0,41,3,0,0,0,0,1,41,64,0.64
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,1,0,0,1,0,0,8,0,4,0,0,2,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,34,54,0.63
Latvia,0,0,0,0,0,0,1,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,6,0,30,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,30,48,0.62
Montenegro,0,6,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,29,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,29,47,0.62
Macedonia,1,5,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,32,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,32,52,0.62
Liechtenstein,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,35,1,11,2,0,0,0,2,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,35,57,0.61
Lithuania,0,1,0,0,1,0,2,0,0,0,0,0,5,0,1,0,0,1,1,0,0,0,0,32,0,8,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,32,56,0.57
Albania,0,21,0,1,0,2,2,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,21,39,0.54
San Marino,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,3,0,0,0,0,0,1,0,0,0,0,0,28,7,0,0,0,28,53,0.53
Bosnia and Herzegovina,0,2,0,24,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,2,2,5,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,24,51,0.47
