Country,Andorra,Albania,Austria,Bosnia and Herzegovina,Belgium,Bulgaria,Belarus,Switzerland,Cyprus,Czechia,Germany,Denmark,Estonia,Spain,Finland,France,Greece,Croatia,Hungary,Ireland,Iceland,Italy,Liechtenstein,Lithuania,Luxembourg,Latvia,Malta,Monaco,Moldova,Montenegro,Macedonia,Netherlands,Norway,Poland,Portugal,Serbia,Russia,Romania,Sweden,Slovenia,Slovakia,San Marino,The Vatican,Türkiye / Turkey,United Kingdom,Ukraine,Correct,Total,Percent
Netherlands,0,0,0,0,1,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,2,0,1,0,0,0,1,0,40,49,0.82
Norway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,2,0,0,0,0,0,0,0,59,64,0.92
Poland,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,2,55,63,0.87
Portugal,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,51,0,0,0,0,0,0,0,0,0,0,0,51,55,0.93
Serbia,0,0,0,9,0,2,2,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,34,2,2,0,0,0,0,0,0,0,1,34,59,0.58
Russia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,2,47,49,0.96
Romania,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,4,0,1,0,0,0,0,2,0,45,0,0,1,0,0,1,0,0,45,64,0.7
Sweden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,63,0,0,0,0,0,0,0,63,67,0.94
Slovenia,0,1,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0,1,0,0,0,36,4,0,0,0,0,1,36,63,0.57
Slovakia,0,0,0,1,0,0,3,0,0,2,0,0,2,0,0,0,1,1,5,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,41,0,0,0,0,0,41,61,0.67
San Marino,2,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,8,3,0,3,0,0,0,0,0,1,0,0,0,0,0,31,6,0,0,0,31,59,0.53
The Vatican,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,44,0,0,0,44,58,0.76
Türkiye / Turkey,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,54,0,2,54,63,0.86
United Kingdom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,52,0,52,53,0.98
Ukraine,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,39,39,44,0.89
