0,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Correct,Sum,Percent,Cluster
Mississippi,7,0,0,5,0,1,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,25,3,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,25,52,0.48,2
Missouri,1,0,0,2,0,2,0,0,0,1,0,0,2,0,3,4,1,0,0,0,1,0,0,3,23,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,23,47,0.49,5
Montana,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,2,0,1,25,2,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,2,25,41,0.61,6
Nebraska,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,1,0,22,1,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,4,22,40,0.55,0
Nevada,0,0,2,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,1,2,1,29,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,29,44,0.66,6
New Hampshire,0,0,0,0,1,0,2,0,0,0,0,0,1,1,0,0,0,0,2,0,2,0,0,0,0,0,0,1,31,2,0,1,1,0,2,0,0,1,1,0,0,0,0,1,5,0,0,0,0,1,31,56,0.55,1
New Jersey,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,1,0,0,34,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,34,48,0.71,4
New Mexico,0,2,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,56,0.7,3
New York,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,6,3,0,0,0,0,1,0,0,0,8,0,29,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,29,53,0.55,4
North Carolina,2,0,0,1,0,0,0,0,0,1,0,0,0,2,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,33,1,0,0,2,0,0,0,1,0,0,1,0,5,1,0,1,0,33,57,0.58,3
North Dakota,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,1,0,34,2,0,0,0,0,1,3,0,0,0,0,0,0,0,2,2,34,52,0.65,6
Ohio,1,0,0,2,0,3,0,0,0,0,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,21,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,21,39,0.54,6
Oklahoma,0,0,0,3,0,0,0,0,0,0,0,1,1,0,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,0,0,0,1,28,0,0,0,0,1,1,1,1,0,0,1,0,0,0,28,47,0.6,5
Oregon,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0,0,0,1,0,28,0,0,0,1,0,0,4,0,0,2,0,0,2,28,48,0.58,6
Pennsylvania,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,1,1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,3,0,0,21,0,0,1,0,0,0,0,1,1,2,0,3,21,44,0.48,1
Rhode Island,0,2,0,0,0,0,3,5,0,0,4,0,0,0,0,0,0,0,1,1,6,1,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,1,28,56,0.5,4
South Carolina,1,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,2,0,0,1,1,0,0,0,0,3,0,0,1,0,0,0,32,0,0,0,0,0,0,0,0,0,0,32,49,0.65,3
South Dakota,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,3,1,1,0,0,0,0,0,1,0,0,1,2,0,0,0,0,1,0,0,2,0,0,0,0,30,1,3,0,0,0,0,0,0,1,30,51,0.59,6
Tennessee,0,0,1,2,0,2,0,0,0,0,0,0,1,0,2,1,1,2,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,2,0,28,0,1,0,0,0,0,0,0,28,47,0.6,3
Texas,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,46,1,0,0,0,0,0,0,46,51,0.9,7
Utah,0,0,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,2,30,45,0.67,6
Vermont,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,3,0,0,0,2,1,1,4,1,0,1,0,0,1,1,1,1,2,0,3,0,0,0,20,1,2,0,1,0,20,51,0.39,1
Virginia,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,1,0,1,2,0,1,2,0,1,1,0,0,0,0,0,0,1,0,0,1,2,0,31,0,1,0,0,31,52,0.6,7
Washington,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,41,0,0,0,41,49,0.84,7
West Virginia,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,3,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,2,0,24,0,0,24,42,0.57,7
Wisconsin,0,0,0,0,0,0,0,0,0,0,0,3,2,0,3,2,0,0,0,0,0,4,3,0,0,1,2,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,20,1,20,48,0.42,0
Wyoming,1,0,0,0,1,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,3,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,30,30,53,0.57,0
